id,business_name,country,city,maps_profile,website_status,social,contact,owner,why_need_website,quality
1,Royal Dates & Nuts Market,USA,"Paterson, NJ",https://maps.google.com/?q=Royal+Dates+Nuts+Paterson+NJ,No website (Google Maps & Instagram only),Instagram: @royaldates_paterson / FB: Royal Dates Paterson,+1 973-555-0182 | sales@royaldatespaterson.com,Tariq Mansour (Owner),"High foot traffic for Medjool & Ajwa dates, relies on phone orders. Lacks modern e-commerce checkout & subscriptions.",High
2,Al-Basha Gourmet Nuts & Spices,USA,"Dearborn, MI",https://maps.google.com/?q=Al+Basha+Gourmet+Nuts+Dearborn+MI,Outdated 1-page site (No online ordering),FB: AlBashaDearborn / IG: @albasha_nuts,+1 313-582-9900 | info@albashanuts.com,Hassan Al-Basha (Managing Partner),Roasts custom nut blends daily. Customers want nationwide shipping & online order management.,High
3,Cedar Market Dry Fruits & Sweets,USA,"Bay Ridge, Brooklyn, NY",https://maps.google.com/?q=Cedar+Market+Dry+Fruits+Brooklyn+NY,No website (Google Maps profile only),FB: CedarMarketBrooklyn,+1 718-491-2200 | contact@cedarmarketny.com,Samir Haddad (Store Manager),"Popular local shop for organic figs, pistachios, and dried apricots; missing out on NYC online gourmet market.",High
4,Sultan Dry Fruits & Gourmet Baskets,USA,"Chicago, IL",https://maps.google.com/?q=Sultan+Dry+Fruits+Chicago+IL,Expired domain / Social ordering only,IG: @sultan_dryfruits_chi,+1 312-600-4411 | sultanfoodschi@gmail.com,Nabil Sultan (Owner),Sells corporate gift boxes during holidays via DMs. Needs automated custom box builder & payment gateway.,High
5,California Sun Dried Fruits & Nuts,USA,"Fresno, CA",https://maps.google.com/?q=California+Sun+Dried+Fruits+Fresno+CA,Outdated non-responsive website (Built 2012),FB: SunDriedFruitsFresno,+1 559-224-8833 | sunfruitfresno@yahoo.com,Robert Garza (Founder),"Direct farm grower offering raisins, almonds & walnuts. Mobile UX broken, no modern cart experience.",High
6,Ziyad Dates & Roastery,USA,"Bridgeview, IL",https://maps.google.com/?q=Ziyad+Dates+Roastery+Bridgeview+IL,No e-commerce (Catalog view only),IG: @ziyad_roastery / FB: ZiyadRoastery,+1 708-430-1100 | orders@ziyadroastery.com,Karim Ziyad (General Manager),High volume wholesale & retail roasted nuts shop. Customers repeatedly ask for DTC e-commerce cart.,High
7,Pistachio Palace & Dried Fruit Boutique,USA,"Glendale, CA",https://maps.google.com/?q=Pistachio+Palace+Glendale+CA,No website (Yelp & Google Maps profile),IG: @pistachiopalace_glendale,+1 818-243-7711 | pistachiopalace@outlook.com,Armen Sarkissian (Co-Owner),4.8-star rated specialty Persian nut shop. Lacks online showcase for premium gift boxes.,High
8,Sahara Dates & Gourmet Snacks,USA,"Houston, TX",https://maps.google.com/?q=Sahara+Dates+Gourmet+Houston+TX,No website (WhatsApp ordering only),FB: SaharaDatesHouston,+1 713-789-5500 | saharadateshouston@gmail.com,Faris Al-Ameri (Owner),Large inventory of stuffed dates & prunes. Currently taking manual orders on WhatsApp.,High
9,Golden Nut House & Organic Fruits,USA,"San Jose, CA",https://maps.google.com/?q=Golden+Nut+House+San+Jose+CA,Broken shopping cart script,IG: @goldennuthouse_sj,+1 408-984-3322 | goldennuthouse@gmail.com,David Chen (Store Manager),"Prime Silicon Valley location, high demand for bulk organic snack boxes, current site checkout throws errors.",High
10,Al-Khair Organic Dates & Seeds,USA,"Anaheim, CA",https://maps.google.com/?q=Al+Khair+Organic+Dates+Anaheim+CA,No website (Instagram bio link broken),IG: @alkhairdates_anaheim,+1 714-635-4422 | alkhairdates@gmail.com,Mo Al-Khair (Owner),Specialized organic date producer in Little Arabia district. Needs professional direct-to-consumer store.,High
